name;basic;process;type;class
N-theoretical;true;value;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.basic.TheoricalSizeMetric
N-total;true;value;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.basic.TotalValueMetric
N-valid;true;value;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.basic.ValidValueMetric
pN-valid;true;value;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.basic.RateValidValueMetric
average;true;quantitative;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.quantitative.AverageMetric
variance;true;quantitative;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.quantitative.VarianceMetric
sum;true;quantitative;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.quantitative.SumMetric
square_sum;true;quantitative;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.quantitative.SquareSumMetric
standard_deviation;true;quantitative;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.quantitative.StandardDeviationMetric
standard_error;true;quantitative;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.quantitative.StandardErrorMetric
count_positives;true;quantitative;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.quantitative.CountPositivesMetric
count_negatives;true;quantitative;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.quantitative.CountNegativesMetric
size;true;quantitative;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.quantitative.SizeMetric
NV;true;value;value;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.CountValueMetric
pNV;true;value;value;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.RateValueMetric
SHDI;false;diversity;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.ShannonDiversityIndex
SHEI;false;diversity;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.ShannonEvennessIndex
SIDI;false;diversity;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.SimpsonDiversityIndex
SIEI;false;diversity;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.SimpsonEvennessIndex
LG3;false;grain;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.LandscapeGrain3Index
LG4;false;grain;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.LandscapeGrain4Index
LG5;false;grain;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.LandscapeGrain5Index
MD3;false;grain;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.MeanDistance3Index
MD4;false;grain;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.MeanDistance4Index
MD5;false;grain;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.MeanDistance5Index
Nclass;true;value;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.CountClassValueMetric
NAT;true;quantitative;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.value.NaturaliteMetric
NC-total;true;couple;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.TotalCoupleMetric
NC-valid;true;couple;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.ValidCoupleMetric
pNC-valid;true;couple;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.RateValidCoupleMetric
NC;true;couple;couple;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.CountCoupleMetric
pNC;true;couple;couple;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.RateCoupleMetric
HET;false;diversity;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.BaudryBurelHeterogeneityIndex
HET-agg;false;diversity;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.BaudryBurelHeterogeneityCompositionIndex
HET-frag;false;diversity;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.BaudryBurelHeterogeneityStructureIndex
AI;false;connectivity;value;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.AggregationClassIndex
NC-homo;true;couple;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.CountHomogeneousCoupleMetric
NC-hete;true;couple;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.CountHeterogeneousCoupleMetric
E-homo;true;couple;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.EdgeHomogeneousCoupleMetric
E-hete;true;couple;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.EdgeHeterogeneousCoupleMetric
E;true;couple;couple;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.couple.EdgeCoupleMetric
LPI;false;patch;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.patch.LargestPatchIndex
MPS;false;patch;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.patch.MeanPatchSizeMetric
SDPS;false;patch;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.patch.StandardDeviationPatchSizeMetric
VCPS;false;qualitative;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.patch.VariationCoefficientPatchSizeMetric
NP;false;patch;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.patch.NumberOfPatchMetric
HC;false;connectivity;;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.patch.HanskiConnectivityMetric
LPI-class;false;patch;value;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.patch.LargestPatchClassIndex
MPS-class;false;patch;value;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.patch.MeanPatchSizeClassMetric
SDPS-class;false;patch;value;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.patch.StandardDeviationPatchSizeClassMetric
VCPS-class;false;patch;value;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.patch.VariationCoefficientPatchSizeClassMetric
HC-class;false;connectivity;value;fr.inra.sad.bagap.apiland.analysis.matrix.process.metric.qualitative.patch.HanskiConnectivityClassMetric
